# h/L (L = 20 nm)	F/A (kT / L^2)
# betaDeltaG0strong = -40
1.5	-0.182626
1.55	-0.176205
1.6	-0.169278
1.65	-0.162133
1.7	-0.153846
1.75	-0.144544
1.8	-0.133853
1.85	-0.121123
1.9	-0.105024
1.95	-0.0819119
2	0


# betaDeltaG0strong = -25
0.05	5.88012
0.1	4.46213
0.15	3.6291
0.2	3.03622
0.25	2.57519
0.3	2.1977
0.35	1.87795
0.4	1.6005
0.45	1.35541
0.5	1.13586
0.55	0.936993
0.6	0.755228
0.65	0.587831
0.7	0.432681
0.75	0.288094
0.8	0.152712
0.85	0.0254239
0.9	-0.0946915
0.95	-0.208407
1	-0.316759
1.05	-0.311399
1.1	-0.305838
1.15	-0.300058
1.2	-0.294036
1.25	-0.287747
1.3	-0.28116
1.35	-0.274236
1.4	-0.266933
1.45	-0.259194
1.5	-0.250952
1.55	-0.242117
1.6	-0.232574
1.65	-0.222169
1.7	-0.210682
1.75	-0.197793
1.8	-0.182995
1.85	-0.165407
1.9	-0.143372
1.95	-0.111786
2	0


# betaDeltaG0strong = -24
0.05	5.83998
0.1	4.40999
0.15	3.56865
0.2	2.96923
0.25	2.50273
0.3	2.12049
0.35	1.79652
0.4	1.51486
0.45	1.26625
0.5	1.04347
0.55	0.841609
0.6	0.657037
0.65	0.487
0.7	0.329355
0.75	0.1824
0.8	0.0447632
0.85	-0.0846786
0.9	-0.206857
0.95	-0.322552
1	-0.432426
1.05	-0.425123
1.1	-0.417545
1.15	-0.409666
1.2	-0.401454
1.25	-0.392876
1.3	-0.383888
1.35	-0.374441
1.4	-0.364472
1.45	-0.353908
1.5	-0.342655
1.55	-0.330592
1.6	-0.317564
1.65	-0.303429
1.7	-0.287796
1.75	-0.27025
1.8	-0.250095
1.85	-0.226116
1.9	-0.195826
1.95	-0.152282
2	0


# betaDeltaG0strong = -23
0.05	5.78699
0.1	4.34071
0.15	3.48778
0.2	2.87955
0.25	2.40574
0.3	2.0172
0.35	1.68766
0.4	1.40138
0.45	1.14822
0.5	0.921227
0.55	0.715444
0.6	0.527199
0.65	0.353705
0.7	0.192788
0.75	0.0427263
0.8	-0.0978702
0.85	-0.230141
0.9	-0.355029
0.95	-0.473367
1	-0.585762
1.05	-0.575985
1.1	-0.565835
1.15	-0.555276
1.2	-0.544267
1.25	-0.532759
1.3	-0.520695
1.35	-0.508005
1.4	-0.494607
1.45	-0.480397
1.5	-0.465247
1.55	-0.448991
1.6	-0.431416
1.65	-0.412227
1.7	-0.391017
1.75	-0.367179
1.8	-0.339755
1.85	-0.307012
1.9	-0.265719
1.95	-0.206227
2	0


# betaDeltaG0strong = -22
0.05	5.71783
0.1	4.24972
0.15	3.38241
0.2	2.76271
0.25	2.27933
0.3	1.88252
0.35	1.54561
0.4	1.2527
0.45	0.99349
0.5	0.760938
0.55	0.549998
0.6	0.356941
0.65	0.178929
0.7	0.0137546
0.75	-0.140337
0.8	-0.284763
0.85	-0.420681
0.9	-0.549054
0.95	-0.67069
1	-0.78627
1.05	-0.773336
1.1	-0.759897
1.15	-0.745904
1.2	-0.731303
1.25	-0.716026
1.3	-0.699994
1.35	-0.683114
1.4	-0.665273
1.45	-0.646328
1.5	-0.626107
1.55	-0.604382
1.6	-0.580813
1.65	-0.555123
1.7	-0.526678
1.75	-0.494648
1.8	-0.457716
1.85	-0.413579
1.9	-0.357519
1.95	-0.276468
2	0


# betaDeltaG0strong = -21
0.05	5.63029
0.1	4.13367
0.15	3.24687
0.2	2.61201
0.25	2.11612
0.3	1.70859
0.35	1.36231
0.4	1.06102
0.45	0.794222
0.5	0.554712
0.55	0.337341
0.6	0.1383
0.65	-0.045312
0.7	-0.215754
0.75	-0.37482
0.8	-0.523959
0.85	-0.66436
0.9	-0.797008
0.95	-0.922692
1	-1.0422
1.05	-1.02541
1.1	-1.00795
1.15	-0.989755
1.2	-0.970742
1.25	-0.950824
1.3	-0.929896
1.35	-0.907832
1.4	-0.884476
1.45	-0.859638
1.5	-0.833082
1.55	-0.804502
1.6	-0.773498
1.65	-0.739528
1.7	-0.701831
1.75	-0.659278
1.8	-0.610082
1.85	-0.551118
1.9	-0.475982
1.95	-0.366931
2	0


# betaDeltaG0strong = -20
0.05	5.52286
0.1	3.98876
0.15	3.07714
