# d (nm)	h (nm)	F (kT)
# Total number of tethers: 8
15.3846	16.9211	-2.49989
15.3846	17.9474	-2.17626
15.3846	18.9737	-1.10176
15.3846	20	0

17.4359	0.5	14.1874
17.4359	1.52632	7.39145
17.4359	2.55263	4.12996
17.4359	3.57895	1.85529
17.4359	4.60526	0.935655
17.4359	5.63158	-0.67119
17.4359	6.65789	-1.60071
17.4359	7.68421	-1.78258
17.4359	8.71053	-1.6487
17.4359	9.73684	-2.53858
17.4359	10.7632	-2.76625
17.4359	11.7895	-2.71163
17.4359	12.8158	-2.65905
17.4359	13.8421	-2.60852
17.4359	14.8684	-2.56004
17.4359	15.8947	-2.51353
17.4359	16.9211	-2.19345
17.4359	17.9474	-1.75463
17.4359	18.9737	-1.0947
17.4359	20	0

19.4872	0.5	18.9166
19.4872	1.52632	11.0846
19.4872	2.55263	7.46011
19.4872	3.57895	5.06463
19.4872	4.60526	3.26358
19.4872	5.63158	1.81102
19.4872	6.65789	0.583427
19.4872	7.68421	-0.494167
19.4872	8.71053	-1.48327
19.4872	9.73684	-2.49036
19.4872	10.7632	-2.69496
19.4872	11.7895	-2.64778
19.4872	12.8158	-2.60171
19.4872	13.8421	-2.55688
19.4872	14.8684	-2.51339
19.4872	15.8947	-2.19837
19.4872	16.9211	-1.76665
19.4872	17.9474	-1.10964
19.4872	18.9737	0
19.4872	20	0

21.5385	0.5	19.0115
21.5385	1.52632	11.1771
21.5385	2.55263	7.54927
21.5385	3.57895	5.14961
21.5385	4.60526	3.34331
21.5385	5.63158	1.88409
21.5385	6.65789	0.647548
21.5385	7.68421	-0.444009
21.5385	8.71053	-1.4764
21.5385	9.73684	-2.42769
21.5385	10.7632	-2.61822
21.5385	11.7895	-2.57814
21.5385	12.8158	-2.53843
21.5385	13.8421	-2.22944
21.5385	14.8684	-1.80434
21.5385	15.8947	-1.7675
21.5385	16.9211	-1.11701
21.5385	17.9474	-1.09002
21.5385	18.9737	0
21.5385	20	0

23.5897	0.5	19.0386
23.5897	1.52632	11.2019
23.5897	2.55263	7.56959
23.5897	3.57895	5.16297
23.5897	4.60526	3.34621
23.5897	5.63158	1.87065
23.5897	6.65789	0.604552
23.5897	7.68421	-0.578459
23.5897	8.71053	-1.5448
23.5897	9.73684	-2.35276
23.5897	10.7632	-2.53996
23.5897	11.7895	-2.23936
23.5897	12.8158	-1.82436
23.5897	13.8421	-1.79035
23.5897	14.8684	-1.1425
23.5897	15.8947	-1.1161
23.5897	16.9211	-1.09072
23.5897	17.9474	0
23.5897	18.9737	0
23.5897	20	0

25.641	0.5	18.9446
25.641	1.52632	11.103
25.641	2.55263	7.45835
25.641	3.57895	5.02763
25.641	4.60526	3.16165
25.641	5.63158	1.56459
25.641	6.65789	0.303642
25.641	7.68421	-0.670341
25.641	8.71053	-1.24448
25.641	9.73684	-1.66163
25.641	10.7632	-1.82335
25.641	11.7895	-1.79433
25.641	12.8158	-1.15477
25.641	13.8421	-1.13065
25.641	14.8684	-1.10702
25.641	15.8947	0
25.641	16.9211	0
25.641	17.9474	0
25.641	18.9737	0
25.641	20	0

27.6923	0.5	18.995
27.6923	1.52632	11.1144
27.6923	2.55263	7.3358
27.6923	3.57895	4.86804
27.6923	4.60526	3.99498
27.6923	5.63158	2.44926
27.6923	6.65789	1.08675
27.6923	7.68421	0.104905
27.6923	8.71053	-0.79989
27.6923	9.73684	-0.989815
27.6923	10.7632	-1.15179
27.6923	11.7895	-1.13147
27.6923	12.8158	-1.11102
27.6923	13.8421	-1.09061
27.6923	14.8684	0
27.6923	15.8947	0
27.6923	16.9211	0
27.6923	17.9474	0
27.6923	18.9737	0
27.6923	20	0

29.7436	0.5	19.1575
29.7436	1.52632	11.144
29.7436	2.55263	7.37229
29.7436	3.57895	6.71061
29.7436	4.60526	4.82399
29.7436	5.63158	3.29323
29.7436	6.65789	1.98441
29.7436	7.68421	0.773972
29.7436	8.71053	-0.194045
29.7436	9.73684	-0.935708
29.7436	10.7632	-1.10212
29.7436	11.7895	0
29.7436	12.8158	0
29.7436	13.8421	0
29.7436	14.8684	0
29.7436	15.8947	0
