# d (nm)	h (nm)	F (kT)
# Total number of tethers: 156
178.462	17.4211	20.5937
178.462	19.4737	3.45445
178.462	21.5263	-0.670067
178.462	23.5789	-0.522128
178.462	25.6316	-0.410826
178.462	27.6842	-0.347296
178.462	29.7368	-0.291181
178.462	31.7895	-0.238718
178.462	33.8421	-0.100721
178.462	35.8947	-0.0959773
178.462	37.9474	-0.0470315
178.462	40	0

190.769	1	463.291
190.769	3.05263	290.947
190.769	5.10526	211.955
190.769	7.15789	159.399
190.769	9.21053	120.137
190.769	11.2632	88.9796
190.769	13.3158	63.0189
190.769	15.3684	40.6938
190.769	17.4211	21.2642
190.769	19.4737	3.95077
190.769	21.5263	-0.154861
190.769	23.5789	-0.105835
190.769	25.6316	-0.101873
190.769	27.6842	-0.0980558
190.769	29.7368	-0.0943999
190.769	31.7895	-0.0469823
190.769	33.8421	0
190.769	35.8947	0
190.769	37.9474	0
190.769	40	0

203.077	1	466.373
203.077	3.05263	292.776
203.077	5.10526	212.685
203.077	7.15789	160.014
203.077	9.21053	120.674
203.077	11.2632	89.3314
203.077	13.3158	63.3544
203.077	15.3684	41.015
203.077	17.4211	21.5362
203.077	19.4737	4.16025
203.077	21.5263	0
203.077	23.5789	0
203.077	25.6316	0
203.077	27.6842	0
203.077	29.7368	0
203.077	31.7895	0
203.077	33.8421	0
203.077	35.8947	0
203.077	37.9474	0
203.077	40	0

215.385	1	467.334
215.385	3.05263	293.238
215.385	5.10526	213.012
215.385	7.15789	160.293
215.385	9.21053	120.96
215.385	11.2632	89.5745
215.385	13.3158	63.458
215.385	15.3684	41.0931
215.385	17.4211	21.5362
215.385	19.4737	4.16025
215.385	21.5263	0
215.385	23.5789	0
215.385	25.6316	0
215.385	27.6842	0
215.385	29.7368	0
215.385	31.7895	0
215.385	33.8421	0
215.385	35.8947	0
215.385	37.9474	0
215.385	40	0

227.692	1	467.334
227.692	3.05263	293.238
227.692	5.10526	213.012
227.692	7.15789	160.293
227.692	9.21053	120.96
227.692	11.2632	89.5745
227.692	13.3158	63.458
227.692	15.3684	41.0931
227.692	17.4211	21.5362
227.692	19.4737	4.16025
227.692	21.5263	0
227.692	23.5789	0
227.692	25.6316	0
227.692	27.6842	0
227.692	29.7368	0
227.692	31.7895	0
227.692	33.8421	0
227.692	35.8947	0
227.692	37.9474	0
227.692	40	0

240	1	467.334
240	3.05263	293.238
240	5.10526	213.012
240	7.15789	160.293
240	9.21053	120.96
240	11.2632	89.5745
240	13.3158	63.458
240	15.3684	41.0931
240	17.4211	21.5362
240	19.4737	4.16025
240	21.5263	0
240	23.5789	0
240	25.6316	0
240	27.6842	0
240	29.7368	0
240	31.7895	0
240	33.8421	0
240	35.8947	0
240	37.9474	0
240	40	0

